project,model,seed,fold,control_task,metric,value
1_1_affirming_opposing_light,microsoft/deberta-v3-base,1,3,PERMUTATION,full test f1,0.5973604917526245
1_1_affirming_opposing_light,microsoft/deberta-v3-base,1,3,PERMUTATION,full test acc,0.5993782877922058
1_1_affirming_opposing_light,microsoft/deberta-v3-base,4,2,PERMUTATION,full test f1,0.5989104509353638
1_1_affirming_opposing_light,microsoft/deberta-v3-base,4,2,PERMUTATION,full test acc,0.6004884839057922
1_1_affirming_opposing_light,microsoft/deberta-v3-base,4,3,PERMUTATION,full test f1,0.5990231037139893
1_1_affirming_opposing_light,microsoft/deberta-v3-base,4,3,PERMUTATION,full test acc,0.6001554131507874
1_1_affirming_opposing_light,microsoft/deberta-v3-base,0,1,PERMUTATION,full test f1,0.5999046564102173
1_1_affirming_opposing_light,microsoft/deberta-v3-base,0,1,PERMUTATION,full test acc,0.6010805368423462
1_1_affirming_opposing_light,microsoft/deberta-v3-base,3,1,PERMUTATION,full test f1,0.5956716537475586
1_1_affirming_opposing_light,microsoft/deberta-v3-base,3,1,PERMUTATION,full test acc,0.5982311367988586
1_1_affirming_opposing_light,microsoft/deberta-v3-base,4,0,PERMUTATION,full test f1,0.5968620777130127
1_1_affirming_opposing_light,microsoft/deberta-v3-base,4,0,PERMUTATION,full test acc,0.5988972187042236
1_1_affirming_opposing_light,microsoft/deberta-v3-base,0,2,PERMUTATION,full test f1,0.5983002185821533
1_1_affirming_opposing_light,microsoft/deberta-v3-base,0,2,PERMUTATION,full test acc,0.5995263457298279
1_1_affirming_opposing_light,microsoft/deberta-v3-base,2,3,PERMUTATION,full test f1,0.6018239259719849
1_1_affirming_opposing_light,microsoft/deberta-v3-base,2,3,PERMUTATION,full test acc,0.6023757457733154
1_1_affirming_opposing_light,microsoft/deberta-v3-base,2,2,PERMUTATION,full test f1,0.5980654954910278
1_1_affirming_opposing_light,microsoft/deberta-v3-base,2,2,PERMUTATION,full test acc,0.5994153022766113
1_1_affirming_opposing_light,microsoft/deberta-v3-base,4,1,PERMUTATION,full test f1,0.5999254584312439
1_1_affirming_opposing_light,microsoft/deberta-v3-base,4,1,PERMUTATION,full test acc,0.6012656092643738
1_1_affirming_opposing_light,microsoft/deberta-v3-base,3,2,PERMUTATION,full test f1,0.6014001369476318
1_1_affirming_opposing_light,microsoft/deberta-v3-base,3,2,PERMUTATION,full test acc,0.6020426750183105
1_1_affirming_opposing_light,microsoft/deberta-v3-base,0,3,PERMUTATION,full test f1,0.5930221080780029
1_1_affirming_opposing_light,microsoft/deberta-v3-base,0,3,PERMUTATION,full test acc,0.5940865278244019
1_1_affirming_opposing_light,microsoft/deberta-v3-base,3,3,PERMUTATION,full test f1,0.5972448587417603
1_1_affirming_opposing_light,microsoft/deberta-v3-base,3,3,PERMUTATION,full test acc,0.5999704003334045
1_1_affirming_opposing_light,microsoft/deberta-v3-base,2,0,PERMUTATION,full test f1,0.5991935729980469
1_1_affirming_opposing_light,microsoft/deberta-v3-base,2,0,PERMUTATION,full test acc,0.6003034710884094
1_1_affirming_opposing_light,microsoft/deberta-v3-base,3,0,PERMUTATION,full test f1,0.591932475566864
1_1_affirming_opposing_light,microsoft/deberta-v3-base,3,0,PERMUTATION,full test acc,0.5949376225471497
1_1_affirming_opposing_light,microsoft/deberta-v3-base,1,1,PERMUTATION,full test f1,0.5899208784103394
1_1_affirming_opposing_light,microsoft/deberta-v3-base,1,1,PERMUTATION,full test acc,0.5946046113967896
1_1_affirming_opposing_light,microsoft/deberta-v3-base,1,2,PERMUTATION,full test f1,0.5929663181304932
1_1_affirming_opposing_light,microsoft/deberta-v3-base,1,2,PERMUTATION,full test acc,0.5940124988555908
1_1_affirming_opposing_light,microsoft/deberta-v3-base,2,1,PERMUTATION,full test f1,0.5913806557655334
1_1_affirming_opposing_light,microsoft/deberta-v3-base,2,1,PERMUTATION,full test acc,0.5955297350883484
1_1_affirming_opposing_light,microsoft/deberta-v3-base,1,0,PERMUTATION,full test f1,0.5875436067581177
1_1_affirming_opposing_light,microsoft/deberta-v3-base,1,0,PERMUTATION,full test acc,0.5919402241706848
1_1_affirming_opposing_light,microsoft/deberta-v3-base,0,0,PERMUTATION,full test f1,0.6002734899520874
1_1_affirming_opposing_light,microsoft/deberta-v3-base,0,0,PERMUTATION,full test acc,0.6015616059303284
1_1_affirming_opposing_light,facebook/bart-base,2,3,PERMUTATION,full test f1,0.609813392162323
1_1_affirming_opposing_light,facebook/bart-base,2,3,PERMUTATION,full test acc,0.6109980344772339
1_1_affirming_opposing_light,facebook/bart-base,4,0,PERMUTATION,full test f1,0.6078754663467407
1_1_affirming_opposing_light,facebook/bart-base,4,0,PERMUTATION,full test acc,0.6094437837600708
1_1_affirming_opposing_light,facebook/bart-base,3,3,PERMUTATION,full test f1,0.6067972183227539
1_1_affirming_opposing_light,facebook/bart-base,3,3,PERMUTATION,full test acc,0.609332799911499
1_1_affirming_opposing_light,facebook/bart-base,0,2,PERMUTATION,full test f1,0.6122913360595703
1_1_affirming_opposing_light,facebook/bart-base,0,2,PERMUTATION,full test acc,0.6141064763069153
1_1_affirming_opposing_light,facebook/bart-base,2,0,PERMUTATION,full test f1,0.6080769896507263
1_1_affirming_opposing_light,facebook/bart-base,2,0,PERMUTATION,full test acc,0.6098508834838867
1_1_affirming_opposing_light,facebook/bart-base,2,2,PERMUTATION,full test f1,0.6120164394378662
1_1_affirming_opposing_light,facebook/bart-base,2,2,PERMUTATION,full test acc,0.6133294105529785
1_1_affirming_opposing_light,facebook/bart-base,2,1,PERMUTATION,full test f1,0.6081497669219971
1_1_affirming_opposing_light,facebook/bart-base,2,1,PERMUTATION,full test acc,0.6101838946342468
1_1_affirming_opposing_light,facebook/bart-base,3,2,PERMUTATION,full test f1,0.6102488040924072
1_1_affirming_opposing_light,facebook/bart-base,3,2,PERMUTATION,full test acc,0.6136624217033386
1_1_affirming_opposing_light,facebook/bart-base,3,1,PERMUTATION,full test f1,0.6063758134841919
1_1_affirming_opposing_light,facebook/bart-base,3,1,PERMUTATION,full test acc,0.6089257001876831
1_1_affirming_opposing_light,facebook/bart-base,0,3,PERMUTATION,full test f1,0.609108567237854
1_1_affirming_opposing_light,facebook/bart-base,0,3,PERMUTATION,full test acc,0.6111460328102112
1_1_affirming_opposing_light,facebook/bart-base,4,1,PERMUTATION,full test f1,0.6083437204360962
1_1_affirming_opposing_light,facebook/bart-base,4,1,PERMUTATION,full test acc,0.609332799911499
1_1_affirming_opposing_light,facebook/bart-base,4,2,PERMUTATION,full test f1,0.6079977750778198
1_1_affirming_opposing_light,facebook/bart-base,4,2,PERMUTATION,full test acc,0.6083336472511292
1_1_affirming_opposing_light,facebook/bart-base,1,3,PERMUTATION,full test f1,0.6086589694023132
1_1_affirming_opposing_light,facebook/bart-base,1,3,PERMUTATION,full test acc,0.6105169653892517
1_1_affirming_opposing_light,facebook/bart-base,4,3,PERMUTATION,full test f1,0.6086940765380859
1_1_affirming_opposing_light,facebook/bart-base,4,3,PERMUTATION,full test acc,0.6102209091186523
1_1_affirming_opposing_light,facebook/bart-base,1,1,PERMUTATION,full test f1,0.6075254678726196
1_1_affirming_opposing_light,facebook/bart-base,1,1,PERMUTATION,full test acc,0.6102949380874634
1_1_affirming_opposing_light,facebook/bart-base,1,2,PERMUTATION,full test f1,0.6128726005554199
1_1_affirming_opposing_light,facebook/bart-base,1,2,PERMUTATION,full test acc,0.6142915487289429
1_1_affirming_opposing_light,facebook/bart-base,0,0,PERMUTATION,full test f1,0.5998855829238892
1_1_affirming_opposing_light,facebook/bart-base,0,0,PERMUTATION,full test acc,0.6014136075973511
1_1_affirming_opposing_light,facebook/bart-base,0,1,PERMUTATION,full test f1,0.6062586307525635
1_1_affirming_opposing_light,facebook/bart-base,0,1,PERMUTATION,full test acc,0.6086297035217285
1_1_affirming_opposing_light,facebook/bart-base,1,0,PERMUTATION,full test f1,0.6085397005081177
1_1_affirming_opposing_light,facebook/bart-base,1,0,PERMUTATION,full test acc,0.6111460328102112
1_1_affirming_opposing_light,facebook/bart-base,3,0,PERMUTATION,full test f1,0.6014502048492432
1_1_affirming_opposing_light,facebook/bart-base,3,0,PERMUTATION,full test acc,0.6014506220817566
1_1_affirming_opposing_light,gpt2,1,2,PERMUTATION,full test f1,0.6116374731063843
1_1_affirming_opposing_light,gpt2,1,2,PERMUTATION,full test acc,0.6134774088859558
1_1_affirming_opposing_light,gpt2,4,3,PERMUTATION,full test f1,0.6094846725463867
1_1_affirming_opposing_light,gpt2,4,3,PERMUTATION,full test acc,0.6115161180496216
1_1_affirming_opposing_light,gpt2,1,3,PERMUTATION,full test f1,0.6044929027557373
1_1_affirming_opposing_light,gpt2,1,3,PERMUTATION,full test acc,0.6046701073646545
1_1_affirming_opposing_light,gpt2,3,1,PERMUTATION,full test f1,0.5981097221374512
1_1_affirming_opposing_light,gpt2,3,1,PERMUTATION,full test acc,0.6039299964904785
1_1_affirming_opposing_light,gpt2,3,0,PERMUTATION,full test f1,0.6043050289154053
1_1_affirming_opposing_light,gpt2,3,0,PERMUTATION,full test acc,0.6062242984771729
1_1_affirming_opposing_light,gpt2,4,0,PERMUTATION,full test f1,0.6064869165420532
1_1_affirming_opposing_light,gpt2,4,0,PERMUTATION,full test acc,0.6081486344337463
1_1_affirming_opposing_light,gpt2,3,3,PERMUTATION,full test f1,0.6097488403320312
1_1_affirming_opposing_light,gpt2,3,3,PERMUTATION,full test acc,0.6122932434082031
1_1_affirming_opposing_light,gpt2,3,2,PERMUTATION,full test f1,0.6083130836486816
1_1_affirming_opposing_light,gpt2,3,2,PERMUTATION,full test acc,0.608666718006134
1_1_affirming_opposing_light,gpt2,2,1,PERMUTATION,full test f1,0.6057934761047363
1_1_affirming_opposing_light,gpt2,2,1,PERMUTATION,full test acc,0.6070754528045654
1_1_affirming_opposing_light,gpt2,0,3,PERMUTATION,full test f1,0.6115313768386841
1_1_affirming_opposing_light,gpt2,0,3,PERMUTATION,full test acc,0.6129223108291626
1_1_affirming_opposing_light,gpt2,4,2,PERMUTATION,full test f1,0.605835497379303
1_1_affirming_opposing_light,gpt2,4,2,PERMUTATION,full test acc,0.6062983274459839
1_1_affirming_opposing_light,gpt2,2,3,PERMUTATION,full test f1,0.6122955083847046
1_1_affirming_opposing_light,gpt2,2,3,PERMUTATION,full test acc,0.6135514378547668
1_1_affirming_opposing_light,gpt2,1,0,PERMUTATION,full test f1,0.6058078408241272
1_1_affirming_opposing_light,gpt2,1,0,PERMUTATION,full test acc,0.6070014238357544
1_1_affirming_opposing_light,gpt2,4,1,PERMUTATION,full test f1,0.6065583229064941
1_1_affirming_opposing_light,gpt2,4,1,PERMUTATION,full test acc,0.6079635620117188
1_1_affirming_opposing_light,gpt2,0,2,PERMUTATION,full test f1,0.611992359161377
1_1_affirming_opposing_light,gpt2,0,2,PERMUTATION,full test acc,0.613218367099762
1_1_affirming_opposing_light,gpt2,2,2,PERMUTATION,full test f1,0.6130836009979248
1_1_affirming_opposing_light,gpt2,2,2,PERMUTATION,full test acc,0.613958477973938
1_1_affirming_opposing_light,gpt2,0,1,PERMUTATION,full test f1,0.6023077964782715
1_1_affirming_opposing_light,gpt2,0,1,PERMUTATION,full test acc,0.6050771474838257
1_1_affirming_opposing_light,gpt2,0,0,PERMUTATION,full test f1,0.6033145189285278
1_1_affirming_opposing_light,gpt2,0,0,PERMUTATION,full test acc,0.6055952310562134
1_1_affirming_opposing_light,gpt2,2,0,PERMUTATION,full test f1,0.6074976325035095
1_1_affirming_opposing_light,gpt2,2,0,PERMUTATION,full test acc,0.6092217564582825
1_1_affirming_opposing_light,gpt2,1,1,PERMUTATION,full test f1,0.5948493480682373
1_1_affirming_opposing_light,gpt2,1,1,PERMUTATION,full test acc,0.6031158566474915
1_1_affirming_opposing_light,albert-base-v2,4,1,PERMUTATION,full test f1,0.6015028953552246
1_1_affirming_opposing_light,albert-base-v2,4,1,PERMUTATION,full test acc,0.6030048727989197
1_1_affirming_opposing_light,albert-base-v2,4,2,PERMUTATION,full test f1,0.5986078977584839
1_1_affirming_opposing_light,albert-base-v2,4,2,PERMUTATION,full test acc,0.602412760257721
1_1_affirming_opposing_light,albert-base-v2,2,1,PERMUTATION,full test f1,0.6002112030982971
1_1_affirming_opposing_light,albert-base-v2,2,1,PERMUTATION,full test acc,0.6026718020439148
1_1_affirming_opposing_light,albert-base-v2,3,0,PERMUTATION,full test f1,0.5868898630142212
1_1_affirming_opposing_light,albert-base-v2,3,0,PERMUTATION,full test acc,0.5887947082519531
1_1_affirming_opposing_light,albert-base-v2,3,2,PERMUTATION,full test f1,0.6033070087432861
1_1_affirming_opposing_light,albert-base-v2,3,2,PERMUTATION,full test acc,0.6050031185150146
1_1_affirming_opposing_light,albert-base-v2,3,3,PERMUTATION,full test f1,0.5965738296508789
1_1_affirming_opposing_light,albert-base-v2,3,3,PERMUTATION,full test acc,0.6001183986663818
1_1_affirming_opposing_light,albert-base-v2,3,1,PERMUTATION,full test f1,0.593765377998352
1_1_affirming_opposing_light,albert-base-v2,3,1,PERMUTATION,full test acc,0.5974540114402771
