project,model,seed,fold,control_task,metric,value,no_context
probe_4_no_context,microsoft/deberta-v3-base,2,2,NONE,full test f1,0.4947929382324219,True
probe_4_no_context,microsoft/deberta-v3-base,2,2,NONE,full test acc,0.497761994600296,True
probe_4_no_context,microsoft/deberta-v3-base,0,3,NONE,full test f1,0.4632696509361267,True
probe_4_no_context,microsoft/deberta-v3-base,0,3,NONE,full test acc,0.4941030144691467,True
probe_4_no_context,microsoft/deberta-v3-base,3,2,NONE,full test f1,0.5013138651847839,True
probe_4_no_context,microsoft/deberta-v3-base,3,2,NONE,full test acc,0.5028063654899597,True
probe_4_no_context,microsoft/deberta-v3-base,3,1,NONE,full test f1,0.3532655537128448,True
probe_4_no_context,microsoft/deberta-v3-base,3,1,NONE,full test acc,0.4941385388374328,True
probe_4_no_context,microsoft/deberta-v3-base,1,3,NONE,full test f1,0.4574402570724487,True
probe_4_no_context,microsoft/deberta-v3-base,1,3,NONE,full test acc,0.5001065731048584,True
probe_4_no_context,microsoft/deberta-v3-base,4,2,NONE,full test f1,0.4282567203044891,True
probe_4_no_context,microsoft/deberta-v3-base,4,2,NONE,full test acc,0.5027353167533875,True
probe_4_no_context,microsoft/deberta-v3-base,1,2,NONE,full test f1,0.440298855304718,True
probe_4_no_context,microsoft/deberta-v3-base,1,2,NONE,full test acc,0.501598596572876,True
probe_4_no_context,microsoft/deberta-v3-base,4,1,NONE,full test f1,0.4532844722270965,True
probe_4_no_context,microsoft/deberta-v3-base,4,1,NONE,full test acc,0.5055772662162781,True
probe_4_no_context,microsoft/deberta-v3-base,0,0,NONE,full test f1,0.3420151472091675,True
probe_4_no_context,microsoft/deberta-v3-base,0,0,NONE,full test acc,0.4928421676158905,True
probe_4_no_context,microsoft/deberta-v3-base,4,0,NONE,full test f1,0.4652667045593261,True
probe_4_no_context,microsoft/deberta-v3-base,4,0,NONE,full test acc,0.5041384100914001,True
probe_4_no_context,microsoft/deberta-v3-base,3,3,NONE,full test f1,0.4941703677177429,True
probe_4_no_context,microsoft/deberta-v3-base,3,3,NONE,full test acc,0.5013854503631592,True
probe_4_no_context,microsoft/deberta-v3-base,1,0,NONE,full test f1,0.4411238729953766,True
probe_4_no_context,microsoft/deberta-v3-base,1,0,NONE,full test acc,0.5061987042427063,True
probe_4_no_context,microsoft/deberta-v3-base,2,3,NONE,full test f1,0.4991970062255859,True
probe_4_no_context,microsoft/deberta-v3-base,2,3,NONE,full test acc,0.5016696453094482,True
probe_4_no_context,microsoft/deberta-v3-base,4,3,NONE,full test f1,0.4674906730651855,True
probe_4_no_context,microsoft/deberta-v3-base,4,3,NONE,full test acc,0.4961278736591339,True
probe_4_no_context,microsoft/deberta-v3-base,0,1,NONE,full test f1,0.4853170216083526,True
probe_4_no_context,microsoft/deberta-v3-base,0,1,NONE,full test acc,0.5002131462097168,True
probe_4_no_context,microsoft/deberta-v3-base,0,2,NONE,full test f1,0.4964059293270111,True
probe_4_no_context,microsoft/deberta-v3-base,0,2,NONE,full test acc,0.4984014332294464,True
probe_4_no_context,microsoft/deberta-v3-base,3,0,NONE,full test f1,0.4706966280937195,True
probe_4_no_context,microsoft/deberta-v3-base,3,0,NONE,full test acc,0.4988810420036316,True
probe_4_no_context,microsoft/deberta-v3-base,1,1,NONE,full test f1,0.4909619390964508,True
probe_4_no_context,microsoft/deberta-v3-base,1,1,NONE,full test acc,0.4981882870197296,True
probe_4_no_context,microsoft/deberta-v3-base,2,0,NONE,full test f1,0.4293212294578552,True
probe_4_no_context,microsoft/deberta-v3-base,2,0,NONE,full test acc,0.4944762289524078,True
probe_4_no_context,microsoft/deberta-v3-base,2,1,NONE,full test f1,0.4738202691078186,True
probe_4_no_context,microsoft/deberta-v3-base,2,1,NONE,full test acc,0.4934635758399963,True
probe_4_no_context,facebook/bart-base,3,1,NONE,full test f1,0.4202111959457397,True
probe_4_no_context,facebook/bart-base,3,1,NONE,full test acc,0.4931438863277435,True
probe_4_no_context,facebook/bart-base,0,3,NONE,full test f1,0.4782962799072265,True
probe_4_no_context,facebook/bart-base,0,3,NONE,full test acc,0.4984369575977325,True
probe_4_no_context,facebook/bart-base,3,0,NONE,full test f1,0.4351164698600769,True
probe_4_no_context,facebook/bart-base,3,0,NONE,full test acc,0.5012610554695129,True
probe_4_no_context,facebook/bart-base,4,0,NONE,full test f1,0.4977023303508758,True
probe_4_no_context,facebook/bart-base,4,0,NONE,full test acc,0.497708797454834,True
probe_4_no_context,facebook/bart-base,4,1,NONE,full test f1,0.4826652109622955,True
probe_4_no_context,facebook/bart-base,4,1,NONE,full test acc,0.4991829395294189,True
probe_4_no_context,facebook/bart-base,1,0,NONE,full test f1,0.4604083001613617,True
probe_4_no_context,facebook/bart-base,1,0,NONE,full test acc,0.5057014226913452,True
probe_4_no_context,facebook/bart-base,2,1,NONE,full test f1,0.4938306510448456,True
probe_4_no_context,facebook/bart-base,2,1,NONE,full test acc,0.4976554214954376,True
probe_4_no_context,facebook/bart-base,3,3,NONE,full test f1,0.4975895285606384,True
probe_4_no_context,facebook/bart-base,3,3,NONE,full test acc,0.4976909458637237,True
probe_4_no_context,facebook/bart-base,2,2,NONE,full test f1,0.4980204999446869,True
probe_4_no_context,facebook/bart-base,2,2,NONE,full test acc,0.4985790550708771,True
probe_4_no_context,facebook/bart-base,4,3,NONE,full test f1,0.4928193390369415,True
probe_4_no_context,facebook/bart-base,4,3,NONE,full test acc,0.4953108429908752,True
probe_4_no_context,facebook/bart-base,0,2,NONE,full test f1,0.4676315188407898,True
probe_4_no_context,facebook/bart-base,0,2,NONE,full test acc,0.4946358799934387,True
probe_4_no_context,facebook/bart-base,1,2,NONE,full test f1,0.4799354076385498,True
probe_4_no_context,facebook/bart-base,1,2,NONE,full test acc,0.5005683898925781,True
probe_4_no_context,facebook/bart-base,3,2,NONE,full test f1,0.4041205644607544,True
probe_4_no_context,facebook/bart-base,3,2,NONE,full test acc,0.4960213005542755,True
probe_4_no_context,facebook/bart-base,1,3,NONE,full test f1,0.4923586845397949,True
probe_4_no_context,facebook/bart-base,1,3,NONE,full test acc,0.4974422752857208,True
probe_4_no_context,facebook/bart-base,2,3,NONE,full test f1,0.4986602365970611,True
probe_4_no_context,facebook/bart-base,2,3,NONE,full test acc,0.4988987445831299,True
probe_4_no_context,facebook/bart-base,4,2,NONE,full test f1,0.4820781946182251,True
probe_4_no_context,facebook/bart-base,4,2,NONE,full test acc,0.5001065731048584,True
probe_4_no_context,facebook/bart-base,1,1,NONE,full test f1,0.4768470227718353,True
probe_4_no_context,facebook/bart-base,1,1,NONE,full test acc,0.5014209747314453,True
probe_4_no_context,facebook/bart-base,0,0,NONE,full test f1,0.4014935791492462,True
probe_4_no_context,facebook/bart-base,0,0,NONE,full test acc,0.4942275583744049,True
probe_4_no_context,facebook/bart-base,0,1,NONE,full test f1,0.4961494207382202,True
probe_4_no_context,facebook/bart-base,0,1,NONE,full test acc,0.4976554214954376,True
probe_4_no_context,facebook/bart-base,2,0,NONE,full test f1,0.4740270376205444,True
probe_4_no_context,facebook/bart-base,2,0,NONE,full test acc,0.4966786205768585,True
probe_4_no_context,gpt2,4,2,NONE,full test f1,0.4817382097244262,True
